team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
ATL,2012,1,14,19,11,8,10,5,20,23,10,23,25,23,28,11,23,8,10,23,5,6,17,1,14,16,11,5,7,10,17,20,11,4,5,15,6,23,16,14,7,10,9,20,6
BOS,2012,16,23,30,5,22,24,7,16,16,9,25,27,5,30,15,30,2,16,6,17,18,26,16,1,7,1,2,4,1,5,16,2,18,19,22,23,21,21,1,15,9,5,24,2
NJN,2012,26,28,21,28,6,3,18,29,28,27,13,16,6,11,30,26,22,19,30,19,12,24,26,23,10,28,18,9,29,23,15,28,14,18,5,22,14,19,29,22,16,18,19,24
CHA,2012,26,30,23,30,29,27,30,21,5,30,16,14,20,26,28,29,19,29,8,16,10,30,26,28,18,29,9,8,22,28,22,29,15,15,13,21,30,29,28,11,25,25,9,27
CHI,2012,16,10,8,12,17,18,4,12,8,18,27,23,27,1,2,1,5,24,3,6,2,18,16,6,19,2,1,1,3,14,30,1,3,3,4,17,1,3,2,6,20,26,28,1
CLE,2012,10,29,18,29,14,16,15,28,19,29,9,6,28,4,22,14,23,22,29,26,20,25,10,26,21,27,25,18,24,24,18,27,12,13,11,18,22,20,25,20,28,22,6,26
DAL,2012,3,19,14,19,7,4,19,25,25,11,22,26,9,27,3,11,15,4,14,8,8,19,3,11,17,7,28,29,12,8,7,8,11,11,12,9,28,26,13,29,1,14,27,12
DEN,2012,6,2,15,2,16,13,24,3,17,1,3,1,25,17,7,8,1,9,16,25,17,1,6,27,26,24,30,30,30,12,11,20,7,7,20,14,6,5,27,20,30,6,1,29
DET,2012,10,25,24,25,26,26,13,17,10,26,14,15,18,12,29,27,28,23,26,28,16,27,10,13,4,25,6,3,20,15,8,25,20,20,26,4,9,8,24,30,21,17,16,14
GSW,2012,23,7,10,7,3,9,2,18,18,12,29,29,11,29,24,28,9,11,6,4,27,12,23,19,21,20,27,26,28,18,17,17,28,28,9,30,27,30,25,11,15,12,29,28
